age,businesstravel,department,distancefromhome,education,educationfield,employeeid,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,trainingtimeslastyear,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement
30,Travel_Rarely,Research & Development,10,3,Life Sciences,81,2,Research Scientist,Divorced,55070,1.0,12,2,2,1,2,4.0,3.0,3.0,2
27,Travel_Rarely,Research & Development,11,2,Medical,82,1,Manager,Married,43930,1.0,18,1,2,0,7,2.0,2.0,3.0,2
37,Travel_Rarely,Sales,1,4,Life Sciences,83,2,Healthcare Representative,Divorced,133480,7.0,14,0,4,0,4,4.0,4.0,2.0,3
38,Travel_Rarely,Research & Development,28,4,Medical,84,1,Laboratory Technician,Divorced,65830,0.0,12,0,1,2,9,3.0,4.0,3.0,3
31,Travel_Rarely,Research & Development,6,3,Medical,85,3,Manager,Single,81030,1.0,15,1,5,4,10,3.0,4.0,3.0,3
29,Travel_Rarely,Research & Development,3,4,Life Sciences,86,3,Sales Executive,Divorced,39780,1.0,11,0,0,1,7,4.0,2.0,3.0,3
35,Travel_Rarely,Sales,16,2,Technical Degree,87,3,Manager,Single,25440,0.0,13,1,3,0,13,3.0,2.0,3.0,4
23,Travel_Rarely,Research & Development,20,4,Life Sciences,88,1,Manufacturing Director,Divorced,53990,1.0,23,0,2,0,2,3.0,4.0,2.0,2
41,Travel_Rarely,Research & Development,9,2,Life Sciences,89,1,Laboratory Technician,Single,54870,6.0,19,2,0,1,2,4.0,2.0,3.0,3
47,Travel_Frequently,Sales,1,3,Medical,90,2,Laboratory Technician,Single,68340,3.0,16,1,2,0,0,2.0,3.0,3.0,4
42,Travel_Rarely,Research & Development,3,4,Life Sciences,91,1,Manager,Single,10910,2.0,22,0,0,0,0,1.0,4.0,3.0,1
29,Non-Travel,Sales,22,4,Marketing,92,2,Human Resources,Married,57360,1.0,22,0,1,0,2,4.0,3.0,2.0,2
42,Travel_Rarely,Sales,7,4,Medical,93,3,Research Scientist,Divorced,22260,0.0,12,1,3,1,0,3.0,3.0,3.0,2
32,Travel_Rarely,Research & Development,2,3,Medical,94,2,Research Scientist,Married,57470,1.0,13,0,0,0,7,3.0,2.0,3.0,3
48,Travel_Rarely,Sales,13,4,Medical,95,4,Sales Executive,Married,98540,3.0,16,1,2,0,0,1.0,3.0,1.0,2
37,Travel_Rarely,Research & Development,8,5,Technical Degree,96,2,Manufacturing Director,Divorced,54670,4.0,12,0,2,6,7,3.0,1.0,3.0,3
30,Non-Travel,Sales,25,4,Other,97,1,Healthcare Representative,Married,53800,7.0,21,1,0,2,2,4.0,3.0,4.0,3
26,Travel_Rarely,Sales,28,3,Medical,98,5,Laboratory Technician,Married,51510,1.0,15,3,3,7,7,3.0,3.0,3.0,3
42,Travel_Rarely,Sales,2,2,Medical,99,1,Laboratory Technician,Single,21330,3.0,13,2,2,0,0,1.0,4.0,3.0,3
21,Travel_Frequently,Research & Development,9,3,Medical,100,4,Manufacturing Director,Single,178750,1.0,12,0,5,1,2,1.0,2.0,3.0,2
36,Non-Travel,Human Resources,28,3,Human Resources,101,2,Laboratory Technician,Single,24320,4.0,22,0,4,0,0,4.0,4.0,3.0,1
36,Travel_Frequently,Research & Development,6,3,Life Sciences,102,2,Research Scientist,Married,47710,4.0,13,1,2,1,12,1.0,4.0,3.0,3
57,Travel_Rarely,Research & Development,21,4,Life Sciences,103,5,Research Scientist,Married,191610,2.0,18,0,2,1,2,4.0,3.0,3.0,1
40,Travel_Rarely,Research & Development,8,3,Other,104,2,Sales Executive,Married,50870,3.0,14,1,3,1,7,4.0,3.0,3.0,3
21,Non-Travel,Research & Development,1,5,Life Sciences,105,2,Manager,Single,28630,1.0,14,0,2,2,2,1.0,4.0,2.0,1
33,Travel_Rarely,Human Resources,28,2,Human Resources,106,5,Manager,Single,55610,1.0,21,1,3,0,0,4.0,3.0,3.0,1
37,Travel_Rarely,Research & Development,5,3,Life Sciences,107,4,Research Scientist,Married,21440,6.0,19,0,3,0,3,3.0,1.0,3.0,4
46,Non-Travel,Sales,2,4,Marketing,108,2,Laboratory Technician,Married,30650,2.0,11,0,3,0,0,3.0,3.0,4.0,3
41,Travel_Frequently,Research & Development,16,1,Medical,109,1,Research Scientist,Single,28100,1.0,11,0,3,7,7,1.0,2.0,3.0,4
50,Travel_Rarely,Research & Development,9,3,Medical,110,3,Laboratory Technician,Single,98880,6.0,15,0,2,1,3,4.0,4.0,3.0,3
40,Travel_Rarely,Research & Development,8,3,Medical,111,1,Healthcare Representative,Married,86280,2.0,20,0,2,1,0,3.0,3.0,3.0,2
31,Travel_Rarely,Research & Development,1,3,Life Sciences,112,4,Human Resources,Single,28670,0.0,24,0,5,2,2,3.0,2.0,3.0,3
21,Travel_Rarely,Human Resources,10,2,Human Resources,113,1,Laboratory Technician,Single,53730,1.0,12,1,2,0,0,3.0,2.0,3.0,3
29,Travel_Rarely,Research & Development,1,3,Life Sciences,114,2,Research Director,Single,66670,9.0,12,1,6,1,2,4.0,4.0,3.0,4
35,Travel_Rarely,Research & Development,29,3,Life Sciences,115,3,Sales Executive,Single,50030,9.0,15,0,2,0,0,3.0,2.0,3.0,3
27,Travel_Rarely,Sales,2,3,Life Sciences,116,1,Sales Executive,Divorced,23670,2.0,12,1,2,0,4,4.0,2.0,3.0,3
28,Travel_Rarely,Research & Development,2,2,Medical,117,3,Manager,Single,28580,1.0,12,0,2,0,7,2.0,4.0,3.0,2
49,Travel_Rarely,Sales,2,3,Technical Degree,118,2,Manufacturing Director,Single,52040,8.0,14,1,3,0,0,2.0,3.0,3.0,3
51,Travel_Rarely,Research & Development,1,2,Life Sciences,119,1,Sales Executive,Married,41050,4.0,22,1,2,0,7,3.0,4.0,2.0,3
36,Travel_Rarely,Sales,15,2,Life Sciences,120,1,Sales Executive,Married,96790,4.0,12,0,1,2,2,4.0,3.0,3.0,3
34,Non-Travel,Research & Development,7,3,Life Sciences,121,1,Sales Representative,Single,56170,8.0,25,1,3,0,4,1.0,4.0,2.0,3
55,Travel_Rarely,Sales,26,3,Marketing,122,1,Laboratory Technician,Single,104480,2.0,13,0,3,1,2,3.0,4.0,3.0,3
24,Travel_Rarely,Research & Development,1,3,Life Sciences,123,5,Manager,Divorced,28970,1.0,18,3,4,0,3,4.0,3.0,4.0,3
30,Travel_Rarely,Research & Development,3,3,Life Sciences,124,2,Manager,Married,59680,1.0,13,0,3,0,0,3.0,2.0,3.0,3
26,Travel_Frequently,Sales,14,3,Life Sciences,125,2,Manager,Single,75100,0.0,18,3,3,0,4,3.0,3.0,3.0,3
22,Travel_Rarely,Research & Development,16,5,Other,126,1,Research Scientist,Married,29910,1.0,19,2,3,1,2,1.0,2.0,3.0,2
36,Travel_Rarely,Research & Development,1,3,Medical,127,5,Healthcare Representative,Married,196360,1.0,12,1,3,9,0,2.0,3.0,3.0,3
30,Travel_Frequently,Sales,3,2,Marketing,128,3,Research Scientist,Single,11290,9.0,19,0,2,0,0,3.0,4.0,3.0,2
37,Travel_Rarely,Research & Development,10,1,Technical Degree,129,1,Sales Executive,Divorced,133410,1.0,14,1,3,12,17,4.0,1.0,2.0,3
40,Travel_Rarely,Research & Development,6,2,Medical,130,3,Research Scientist,Divorced,43320,7.0,14,2,3,1,3,4.0,2.0,3.0,2
42,Travel_Rarely,Research & Development,2,3,Medical,131,4,Manager,Divorced,110310,3.0,12,1,2,1,2,2.0,1.0,3.0,2
37,Travel_Rarely,Sales,9,1,Marketing,132,3,Sales Executive,Single,44400,2.0,11,1,3,0,1,3.0,2.0,2.0,2
43,Travel_Rarely,Sales,10,2,Life Sciences,133,1,Sales Executive,Divorced,46170,1.0,11,0,2,3,9,1.0,2.0,3.0,3
40,Travel_Rarely,Sales,6,2,Life Sciences,134,1,Laboratory Technician,Married,26470,6.0,13,0,2,0,0,2.0,3.0,3.0,2
54,Travel_Rarely,Human Resources,9,3,Life Sciences,135,2,Manufacturing Director,Married,63230,4.0,23,1,2,1,2,1.0,1.0,2.0,2
34,Non-Travel,Research & Development,28,3,Medical,136,1,Laboratory Technician,Married,56770,9.0,20,1,3,1,2,3.0,3.0,3.0,3
31,Travel_Rarely,Research & Development,10,4,Life Sciences,137,3,Sales Executive,Married,21870,1.0,15,1,2,3,12,2.0,1.0,1.0,2
43,Travel_Frequently,Sales,14,3,Life Sciences,138,1,Manufacturing Director,Married,37480,7.0,14,2,3,1,2,4.0,4.0,3.0,2
43,Travel_Rarely,Sales,27,4,Life Sciences,139,2,Sales Representative,Divorced,39770,4.0,18,1,3,0,2,3.0,3.0,3.0,3
25,Travel_Rarely,Human Resources,7,2,Human Resources,140,1,Manufacturing Director,Single,86330,1.0,19,1,2,1,3,2.0,4.0,3.0,4
37,Non-Travel,Research & Development,1,3,Medical,141,3,Laboratory Technician,Married,20080,3.0,22,0,5,10,7,2.0,3.0,3.0,2
31,Travel_Rarely,Research & Development,24,1,Medical,142,3,Laboratory Technician,Married,44400,1.0,13,1,2,3,2,4.0,1.0,3.0,3
39,Travel_Frequently,Research & Development,26,4,Technical Degree,143,1,Sales Executive,Divorced,30670,1.0,20,1,5,1,6,2.0,3.0,3.0,1
56,Travel_Frequently,Research & Development,20,4,Life Sciences,144,3,Sales Executive,Married,53210,9.0,14,0,1,7,7,3.0,1.0,2.0,3
30,Travel_Rarely,Sales,5,4,Medical,145,2,Manufacturing Director,Single,54100,0.0,17,1,2,4,4,2.0,3.0,3.0,3
41,Travel_Rarely,Research & Development,7,3,Technical Degree,146,3,Research Scientist,Married,27820,1.0,14,0,2,0,7,2.0,1.0,3.0,2
28,Travel_Rarely,Research & Development,7,3,Medical,147,3,Healthcare Representative,Divorced,119570,1.0,13,0,2,1,8,3.0,1.0,3.0,2
25,Travel_Rarely,Research & Development,5,2,Life Sciences,148,3,Laboratory Technician,Married,26600,5.0,13,0,3,0,2,1.0,1.0,3.0,3
52,Travel_Rarely,Research & Development,26,2,Life Sciences,149,2,Sales Representative,Married,33750,2.0,21,0,2,0,4,4.0,3.0,3.0,2
45,Travel_Rarely,Research & Development,2,3,Medical,150,1,Sales Executive,Married,50980,3.0,14,1,4,0,2,1.0,4.0,2.0,3
52,Travel_Rarely,Research & Development,12,3,Medical,151,2,Research Scientist,Married,48780,2.0,11,1,3,1,4,4.0,4.0,1.0,3
42,Travel_Frequently,Sales,10,3,Marketing,152,2,Healthcare Representative,Divorced,28370,2.0,13,1,0,0,2,1.0,3.0,3.0,2
30,Travel_Rarely,Sales,25,3,Marketing,153,1,Sales Executive,Single,24060,2.0,20,1,5,0,2,3.0,4.0,3.0,3
60,Travel_Rarely,Research & Development,10,3,Life Sciences,154,1,Manufacturing Director,Married,22690,5.0,18,1,4,11,10,1.0,1.0,1.0,3
46,Travel_Rarely,Sales,19,4,Marketing,155,1,Sales Executive,Divorced,41080,2.0,14,0,5,0,8,3.0,3.0,2.0,2
42,Travel_Frequently,Research & Development,18,4,Technical Degree,156,4,Sales Executive,Married,132060,0.0,13,2,2,0,4,4.0,4.0,4.0,3
24,Travel_Rarely,Research & Development,27,2,Medical,157,1,Research Scientist,Single,104220,1.0,17,1,0,1,4,1.0,2.0,3.0,2
34,Travel_Frequently,Research & Development,5,3,Medical,158,2,Research Scientist,Divorced,137440,0.0,20,1,3,1,0,4.0,3.0,2.0,3
38,Travel_Frequently,Sales,3,3,Marketing,159,2,Sales Executive,Married,49070,1.0,11,1,3,0,0,4.0,4.0,3.0,3
40,Travel_Rarely,Sales,26,4,Marketing,160,1,Sales Executive,Married,34820,0.0,18,1,2,1,12,3.0,3.0,3.0,2
26,Travel_Rarely,Research & Development,3,2,Medical,161,4,Healthcare Representative,Divorced,24360,1.0,24,0,2,0,2,1.0,4.0,1.0,4
30,Non-Travel,Research & Development,15,3,Medical,162,2,Sales Executive,Married,23800,4.0,18,3,2,1,4,3.0,4.0,1.0,2
29,Travel_Rarely,Research & Development,8,3,Medical,163,3,Manufacturing Director,Married,194310,1.0,11,0,3,0,7,2.0,3.0,3.0,3
29,Travel_Rarely,Research & Development,19,4,Life Sciences,164,3,Research Scientist,Married,17900,5.0,16,1,4,1,1,3.0,2.0,4.0,2
19,Travel_Rarely,Research & Development,4,3,Medical,165,1,Sales Executive,Single,76440,1.0,15,2,2,0,0,1.0,4.0,4.0,3
30,Non-Travel,Research & Development,2,4,Life Sciences,166,3,Research Scientist,Married,51310,0.0,15,1,2,7,8,3.0,1.0,3.0,3
57,Travel_Rarely,Research & Development,2,2,Life Sciences,167,4,Research Scientist,Divorced,63060,3.0,12,1,3,0,0,1.0,4.0,2.0,3
50,Travel_Rarely,Sales,10,4,Life Sciences,168,3,Manager,Married,47870,0.0,12,0,3,15,7,2.0,3.0,3.0,3
30,Non-Travel,Sales,10,2,Life Sciences,169,3,Laboratory Technician,Single,188800,0.0,22,1,3,6,7,3.0,4.0,2.0,3
60,Travel_Frequently,Research & Development,16,3,Life Sciences,170,4,Laboratory Technician,Married,23390,4.0,20,0,4,13,11,3.0,1.0,4.0,3
47,Travel_Rarely,Research & Development,1,3,Technical Degree,171,5,Manufacturing Director,Divorced,135700,5.0,16,2,2,0,4,1.0,4.0,3.0,2
46,Travel_Rarely,Sales,4,1,Technical Degree,172,1,Laboratory Technician,Married,67120,6.0,21,1,3,0,1,1.0,3.0,1.0,2
35,Travel_Rarely,Research & Development,15,2,Medical,173,2,Laboratory Technician,Single,54060,0.0,12,1,2,4,3,4.0,3.0,3.0,3
54,Travel_Rarely,Research & Development,2,4,Medical,174,2,Human Resources,Single,89380,7.0,11,3,2,0,0,3.0,3.0,3.0,3
34,Travel_Rarely,Sales,8,2,Life Sciences,175,1,Laboratory Technician,Divorced,24390,3.0,11,2,2,5,7,4.0,3.0,3.0,4
46,Travel_Rarely,Research & Development,2,3,Life Sciences,176,1,Healthcare Representative,Married,88370,2.0,18,0,3,1,2,3.0,4.0,3.0,2
31,Travel_Rarely,Research & Development,7,3,Life Sciences,177,2,Research Director,Divorced,53430,1.0,14,1,3,0,8,3.0,2.0,4.0,3
33,Travel_Rarely,Research & Development,10,3,Life Sciences,178,4,Research Director,Married,67280,7.0,22,0,2,7,7,2.0,3.0,4.0,2
33,Travel_Rarely,Sales,5,4,Marketing,179,2,Research Director,Divorced,66520,7.0,25,0,5,1,3,1.0,4.0,3.0,3
30,Travel_Rarely,Research & Development,2,3,Life Sciences,180,1,Sales Executive,Single,48500,0.0,12,1,4,1,2,4.0,2.0,3.0,3
35,Travel_Rarely,Research & Development,12,2,Medical,181,2,Sales Representative,Married,28090,4.0,23,1,2,0,0,4.0,3.0,3.0,1
31,Travel_Frequently,Research & Development,22,2,Medical,182,2,Sales Executive,Married,56890,3.0,15,2,2,0,0,1.0,3.0,3.0,2
34,Travel_Frequently,Sales,17,1,Marketing,183,1,Research Director,Divorced,20010,9.0,22,1,5,0,2,2.0,1.0,3.0,4
42,Travel_Frequently,Research & Development,2,4,Medical,184,1,Research Scientist,Married,29770,4.0,15,3,3,2,0,2.0,3.0,3.0,2
36,Non-Travel,Research & Development,3,4,Medical,185,1,Research Scientist,Single,40250,1.0,11,0,3,9,7,2.0,4.0,2.0,3
22,Travel_Frequently,Research & Development,7,3,Medical,186,2,Laboratory Technician,Single,37850,5.0,13,2,2,1,2,3.0,3.0,3.0,3
48,Travel_Rarely,Research & Development,6,3,Medical,187,1,Laboratory Technician,Married,108540,2.0,14,1,6,6,7,2.0,4.0,3.0,3
55,Travel_Rarely,Research & Development,1,3,Medical,188,1,Sales Executive,Single,120310,3.0,11,0,5,7,7,1.0,2.0,3.0,3
41,Non-Travel,Research & Development,3,2,Life Sciences,189,2,Research Scientist,Single,99360,7.0,17,1,2,1,10,4.0,4.0,3.0,2
35,Travel_Rarely,Research & Development,22,3,Medical,190,1,Sales Representative,Married,29660,9.0,18,0,2,6,9,2.0,3.0,3.0,2
40,Travel_Rarely,Research & Development,15,3,Life Sciences,191,2,Laboratory Technician,Single,25710,7.0,14,0,1,5,13,2.0,3.0,3.0,3
