index,age,businesstravel,department,distancefromhome,education,educationfield,employeeid,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,trainingtimeslastyear,yearssincelastpromotion,yearswithcurrmanager,infodate,index:1,employeeid:1,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,index:2,employeeid:2,jobinvolvement,surveydate,employeeid:3,v_objetivo
10,45,Travel_Rarely,Research & Development,17,2,Medical,11,2,Laboratory Technician,Married,79910,0.0,13,2,2,4,10,2015-12-31 00:00:00,10,11,3.0,4.0,3.0,2015-12-31 00:00:00,10,11,2,2015-12-31 00:00:00,,0
11,36,Travel_Rarely,Research & Development,28,1,Life Sciences,12,1,Laboratory Technician,Married,33770,0.0,12,2,2,10,11,2015-12-31 00:00:00,11,12,3.0,4.0,3.0,2015-12-31 00:00:00,11,12,3,2015-12-31 00:00:00,,0
12,55,Travel_Rarely,Research & Development,14,4,Life Sciences,13,1,Sales Executive,Single,55380,0.0,17,0,2,4,13,2015-12-31 00:00:00,12,13,4.0,1.0,3.0,2015-12-31 00:00:00,12,13,3,2015-12-31 00:00:00,,0
13,47,Non-Travel,Research & Development,1,1,Medical,14,1,Research Scientist,Married,57620,1.0,11,2,4,9,9,2015-12-31 00:00:00,13,14,1.0,2.0,2.0,2015-12-31 00:00:00,13,14,2,2015-12-31 00:00:00,14.0,1
14,28,Travel_Rarely,Research & Development,1,3,Life Sciences,15,1,Manufacturing Director,Married,25920,1.0,14,0,2,0,4,2015-12-31 00:00:00,14,15,4.0,4.0,2.0,2015-12-31 00:00:00,14,15,3,2015-12-31 00:00:00,,0
15,37,Travel_Rarely,Research & Development,1,3,Life Sciences,16,2,Healthcare Representative,Married,53460,4.0,11,0,2,0,1,2015-12-31 00:00:00,15,16,3.0,4.0,4.0,2015-12-31 00:00:00,15,16,3,2015-12-31 00:00:00,,0
16,21,Travel_Rarely,Research & Development,3,2,Life Sciences,17,1,Laboratory Technician,Single,42130,1.0,12,3,3,1,0,2015-12-31 00:00:00,16,17,4.0,3.0,4.0,2015-12-31 00:00:00,16,17,2,2015-12-31 00:00:00,,0
17,37,Non-Travel,Research & Development,1,3,Medical,18,2,Sales Executive,Divorced,41270,2.0,13,1,2,0,2,2015-12-31 00:00:00,17,18,1.0,4.0,3.0,2015-12-31 00:00:00,17,18,3,2015-12-31 00:00:00,,0
18,35,Travel_Rarely,Sales,7,4,Life Sciences,19,1,Sales Representative,Divorced,24380,7.0,16,0,5,6,2,2015-12-31 00:00:00,18,19,2.0,2.0,2.0,2015-12-31 00:00:00,18,19,2,2015-12-31 00:00:00,,0
19,38,Travel_Rarely,Research & Development,8,3,Life Sciences,20,1,Manager,Divorced,68700,1.0,11,1,5,7,7,2015-12-31 00:00:00,19,20,1.0,1.0,3.0,2015-12-31 00:00:00,19,20,3,2015-12-31 00:00:00,,0
20,26,Travel_Frequently,Research & Development,1,4,Other,21,2,Laboratory Technician,Divorced,104470,1.0,18,0,3,1,4,2015-12-31 00:00:00,20,21,3.0,2.0,1.0,2015-12-31 00:00:00,20,21,3,2015-12-31 00:00:00,,0
21,50,Travel_Rarely,Sales,8,4,Life Sciences,22,1,Research Scientist,Divorced,96670,3.0,23,0,2,1,6,2015-12-31 00:00:00,21,22,1.0,2.0,2.0,2015-12-31 00:00:00,21,22,2,2015-12-31 00:00:00,,0
22,53,Travel_Rarely,Research & Development,11,4,Life Sciences,23,2,Research Scientist,Married,21480,3.0,11,0,2,1,3,2015-12-31 00:00:00,22,23,3.0,3.0,2.0,2015-12-31 00:00:00,22,23,3,2015-12-31 00:00:00,,0
23,42,Travel_Rarely,Research & Development,4,4,Life Sciences,24,1,Manufacturing Director,Married,89260,1.0,14,0,4,11,6,2015-12-31 00:00:00,23,24,2.0,3.0,3.0,2015-12-31 00:00:00,23,24,1,2015-12-31 00:00:00,,0
24,29,Travel_Frequently,Research & Development,16,4,Medical,25,1,Laboratory Technician,Single,65130,1.0,11,1,2,0,9,2015-12-31 00:00:00,24,25,2.0,4.0,2.0,2015-12-31 00:00:00,24,25,3,2015-12-31 00:00:00,,0
25,55,Travel_Rarely,Research & Development,1,4,Other,26,1,Research Scientist,Married,67990,3.0,11,0,2,0,8,2015-12-31 00:00:00,25,26,2.0,4.0,3.0,2015-12-31 00:00:00,25,26,3,2015-12-31 00:00:00,,0
26,26,Travel_Frequently,Research & Development,9,3,Life Sciences,27,1,Manager,Married,162910,1.0,22,0,3,3,3,2015-12-31 00:00:00,26,27,1.0,1.0,3.0,2015-12-31 00:00:00,26,27,3,2015-12-31 00:00:00,,0
27,37,Travel_Rarely,Sales,5,1,Marketing,28,1,Research Scientist,Single,27050,1.0,11,0,2,5,7,2015-12-31 00:00:00,27,28,4.0,4.0,3.0,2015-12-31 00:00:00,27,28,3,2015-12-31 00:00:00,,0
28,44,Travel_Frequently,Research & Development,1,2,Medical,29,2,Research Scientist,Divorced,103330,3.0,14,1,2,0,0,2015-12-31 00:00:00,28,29,4.0,3.0,1.0,2015-12-31 00:00:00,28,29,2,2015-12-31 00:00:00,29.0,1
29,38,Travel_Rarely,Sales,2,3,Marketing,30,1,Manager,Divorced,44480,9.0,12,0,3,1,2,2015-12-31 00:00:00,29,30,4.0,4.0,3.0,2015-12-31 00:00:00,29,30,2,2015-12-31 00:00:00,,0
30,26,Travel_Rarely,Research & Development,4,3,Medical,31,3,Research Scientist,Divorced,68540,2.0,11,0,5,0,2,2015-12-31 00:00:00,30,31,1.0,2.0,3.0,2015-12-31 00:00:00,30,31,2,2015-12-31 00:00:00,31.0,1
31,28,Travel_Rarely,Research & Development,7,3,Other,32,1,Human Resources,Single,96370,1.0,13,0,6,0,2,2015-12-31 00:00:00,31,32,4.0,4.0,3.0,2015-12-31 00:00:00,31,32,2,2015-12-31 00:00:00,,0
32,49,Travel_Frequently,Research & Development,1,1,Medical,33,2,Research Scientist,Single,35910,9.0,13,0,2,1,2,2015-12-31 00:00:00,32,33,3.0,1.0,3.0,2015-12-31 00:00:00,32,33,3,2015-12-31 00:00:00,,0
33,36,Travel_Rarely,Sales,5,3,Technical Degree,34,3,Sales Executive,Single,54050,4.0,14,0,2,7,7,2015-12-31 00:00:00,33,34,3.0,2.0,3.0,2015-12-31 00:00:00,33,34,3,2015-12-31 00:00:00,,0
34,31,Travel_Frequently,Research & Development,9,4,Medical,35,1,Sales Executive,Divorced,46840,1.0,16,1,4,2,2,2015-12-31 00:00:00,34,35,4.0,2.0,2.0,2015-12-31 00:00:00,34,35,3,2015-12-31 00:00:00,,0
35,26,Travel_Rarely,Research & Development,8,3,Medical,36,2,Manager,Single,157870,1.0,12,2,5,7,4,2015-12-31 00:00:00,35,36,4.0,4.0,3.0,2015-12-31 00:00:00,35,36,3,2015-12-31 00:00:00,36.0,1
36,37,Travel_Frequently,Sales,9,1,Marketing,37,1,Laboratory Technician,Married,15140,1.0,14,0,3,1,2,2015-12-31 00:00:00,36,37,2.0,4.0,2.0,2015-12-31 00:00:00,36,37,3,2015-12-31 00:00:00,,0
37,42,Travel_Frequently,Sales,2,2,Marketing,38,3,Research Director,Married,29560,5.0,13,0,2,4,8,2015-12-31 00:00:00,37,38,3.0,2.0,4.0,2015-12-31 00:00:00,37,38,3,2015-12-31 00:00:00,,0
38,18,Travel_Rarely,Research & Development,1,4,Life Sciences,39,1,Sales Executive,Single,23350,1.0,14,2,3,0,0,2015-12-31 00:00:00,38,39,3.0,3.0,3.0,2015-12-31 00:00:00,38,39,2,2015-12-31 00:00:00,39.0,1
39,35,Travel_Rarely,Sales,20,2,Life Sciences,40,1,Laboratory Technician,Married,51540,0.0,19,0,2,6,9,2015-12-31 00:00:00,39,40,3.0,2.0,2.0,2015-12-31 00:00:00,39,40,2,2015-12-31 00:00:00,,0
40,36,Travel_Frequently,Research & Development,8,3,Other,41,3,Sales Executive,Married,69620,4.0,12,2,2,0,0,2015-12-31 00:00:00,40,41,3.0,3.0,3.0,2015-12-31 00:00:00,40,41,2,2015-12-31 00:00:00,,0
41,51,Travel_Rarely,Research & Development,2,3,Life Sciences,42,2,Laboratory Technician,Divorced,56750,5.0,13,0,2,1,2,2015-12-31 00:00:00,41,42,4.0,2.0,3.0,2015-12-31 00:00:00,41,42,2,2015-12-31 00:00:00,,0
42,41,Travel_Rarely,Research & Development,29,1,Life Sciences,43,1,Laboratory Technician,Single,23790,1.0,12,0,6,0,4,2015-12-31 00:00:00,42,43,4.0,2.0,3.0,2015-12-31 00:00:00,42,43,3,2015-12-31 00:00:00,,0
43,18,Travel_Rarely,Sales,7,3,Life Sciences,44,1,Research Scientist,Single,38120,1.0,15,0,3,0,0,2015-12-31 00:00:00,43,44,4.0,3.0,3.0,2015-12-31 00:00:00,43,44,3,2015-12-31 00:00:00,,0
44,28,Travel_Rarely,Research & Development,9,3,Medical,45,1,Sales Representative,Single,46480,0.0,23,2,2,0,7,2015-12-31 00:00:00,44,45,2.0,1.0,3.0,2015-12-31 00:00:00,44,45,2,2015-12-31 00:00:00,,0
45,31,Travel_Rarely,Research & Development,8,1,Technical Degree,46,1,Manufacturing Director,Married,29360,4.0,12,1,2,7,7,2015-12-31 00:00:00,45,46,2.0,4.0,2.0,2015-12-31 00:00:00,45,46,3,2015-12-31 00:00:00,,0
46,39,Travel_Rarely,Sales,5,4,Marketing,47,2,Human Resources,Divorced,21050,0.0,20,0,3,3,7,2015-12-31 00:00:00,46,47,3.0,4.0,2.0,2015-12-31 00:00:00,46,47,3,2015-12-31 00:00:00,,0
47,36,Non-Travel,Research & Development,5,4,Life Sciences,48,1,Sales Executive,Married,85780,7.0,21,0,4,0,8,2015-12-31 00:00:00,47,48,2.0,2.0,3.0,2015-12-31 00:00:00,47,48,3,2015-12-31 00:00:00,,0
48,32,Travel_Rarely,Sales,2,3,Marketing,49,2,Laboratory Technician,Married,27060,1.0,21,1,4,4,8,2015-12-31 00:00:00,48,49,4.0,3.0,2.0,2015-12-31 00:00:00,48,49,3,2015-12-31 00:00:00,,0
49,38,Travel_Rarely,Research & Development,5,2,Life Sciences,50,3,Research Scientist,Married,63840,3.0,19,2,4,0,1,2015-12-31 00:00:00,49,50,1.0,2.0,3.0,2015-12-31 00:00:00,49,50,2,2015-12-31 00:00:00,,0
50,58,Non-Travel,Research & Development,2,3,Life Sciences,51,2,Manufacturing Director,Divorced,39680,2.0,13,2,3,1,2,2015-12-31 00:00:00,50,51,4.0,3.0,3.0,2015-12-31 00:00:00,50,51,2,2015-12-31 00:00:00,,0
51,31,Travel_Rarely,Research & Development,20,1,Technical Degree,52,3,Research Scientist,Married,99070,0.0,13,1,3,0,3,2015-12-31 00:00:00,51,52,3.0,4.0,3.0,2015-12-31 00:00:00,51,52,2,2015-12-31 00:00:00,,0
52,31,Travel_Rarely,Sales,7,4,Marketing,53,2,Sales Executive,Married,132250,3.0,21,1,2,1,0,2015-12-31 00:00:00,52,53,1.0,1.0,3.0,2015-12-31 00:00:00,52,53,3,2015-12-31 00:00:00,,0
53,45,Travel_Frequently,Research & Development,3,1,Medical,54,1,Sales Executive,Divorced,35400,1.0,13,0,6,9,11,2015-12-31 00:00:00,53,54,1.0,1.0,3.0,2015-12-31 00:00:00,53,54,3,2015-12-31 00:00:00,,0
54,31,Travel_Rarely,Sales,16,4,Marketing,55,2,Research Scientist,Divorced,28040,0.0,19,2,0,2,2,2015-12-31 00:00:00,54,55,3.0,4.0,1.0,2015-12-31 00:00:00,54,55,3,2015-12-31 00:00:00,,0
55,33,Travel_Frequently,Research & Development,9,3,Life Sciences,56,4,Research Director,Married,193920,6.0,12,1,3,8,8,2015-12-31 00:00:00,55,56,4.0,2.0,3.0,2015-12-31 00:00:00,55,56,3,2015-12-31 00:00:00,,0
56,39,Travel_Rarely,Sales,1,4,Life Sciences,57,1,Sales Executive,Married,196650,1.0,22,1,6,11,10,2015-12-31 00:00:00,56,57,3.0,1.0,3.0,2015-12-31 00:00:00,56,57,3,2015-12-31 00:00:00,,0
57,43,Travel_Frequently,Research & Development,7,4,Medical,58,4,Research Scientist,Single,24390,0.0,15,0,2,1,7,2015-12-31 00:00:00,57,58,3.0,4.0,3.0,2015-12-31 00:00:00,57,58,3,2015-12-31 00:00:00,,0
58,49,Travel_Rarely,Research & Development,1,3,Life Sciences,59,3,Manufacturing Director,Single,73140,7.0,22,0,2,0,7,2015-12-31 00:00:00,58,59,3.0,3.0,3.0,2015-12-31 00:00:00,58,59,3,2015-12-31 00:00:00,,0
59,52,Travel_Rarely,Research & Development,7,1,Life Sciences,60,2,Research Scientist,Married,47740,2.0,18,1,2,7,7,2015-12-31 00:00:00,59,60,3.0,2.0,2.0,2015-12-31 00:00:00,59,60,3,2015-12-31 00:00:00,60.0,1
60,27,Travel_Rarely,Research & Development,15,4,Medical,61,3,Research Scientist,Single,39020,1.0,22,0,2,1,2,2015-12-31 00:00:00,60,61,3.0,2.0,2.0,2015-12-31 00:00:00,60,61,3,2015-12-31 00:00:00,,0
61,32,Travel_Rarely,Research & Development,1,3,Life Sciences,62,3,Research Scientist,Married,26620,1.0,11,1,6,11,9,2015-12-31 00:00:00,61,62,3.0,2.0,3.0,2015-12-31 00:00:00,61,62,4,2015-12-31 00:00:00,,0
62,27,Travel_Rarely,Research & Development,13,2,Medical,63,4,Research Director,Single,28560,1.0,12,2,5,0,4,2015-12-31 00:00:00,62,63,4.0,3.0,3.0,2015-12-31 00:00:00,62,63,4,2015-12-31 00:00:00,,0
63,31,Travel_Rarely,Sales,24,3,Life Sciences,64,2,Healthcare Representative,Divorced,10810,4.0,11,3,4,1,7,2015-12-31 00:00:00,63,64,4.0,4.0,3.0,2015-12-31 00:00:00,63,64,4,2015-12-31 00:00:00,,0
64,32,Travel_Rarely,Research & Development,7,3,Technical Degree,65,2,Healthcare Representative,Single,24720,7.0,13,0,2,0,7,2015-12-31 00:00:00,64,65,1.0,4.0,2.0,2015-12-31 00:00:00,64,65,3,2015-12-31 00:00:00,,0
65,28,Travel_Rarely,Research & Development,9,4,Medical,66,1,Sales Executive,Married,56730,5.0,14,1,4,2,2,2015-12-31 00:00:00,65,66,1.0,4.0,2.0,2015-12-31 00:00:00,65,66,2,2015-12-31 00:00:00,66.0,1
66,30,Travel_Rarely,Research & Development,13,3,Life Sciences,67,4,Research Director,Married,41970,1.0,13,0,3,1,9,2015-12-31 00:00:00,66,67,4.0,4.0,3.0,2015-12-31 00:00:00,66,67,3,2015-12-31 00:00:00,,0
67,31,Travel_Frequently,Research & Development,2,1,Life Sciences,68,1,Manager,Married,97130,1.0,17,0,5,8,9,2015-12-31 00:00:00,67,68,3.0,3.0,3.0,2015-12-31 00:00:00,67,68,2,2015-12-31 00:00:00,,0
68,39,Travel_Frequently,Research & Development,19,4,Medical,69,1,Research Scientist,Married,20620,1.0,13,0,4,13,3,2015-12-31 00:00:00,68,69,3.0,4.0,3.0,2015-12-31 00:00:00,68,69,3,2015-12-31 00:00:00,,0
69,39,Travel_Rarely,Research & Development,1,1,Medical,70,1,Laboratory Technician,Married,42840,4.0,17,1,0,0,0,2015-12-31 00:00:00,69,70,4.0,3.0,2.0,2015-12-31 00:00:00,69,70,3,2015-12-31 00:00:00,,0
70,33,Travel_Frequently,Sales,4,2,Life Sciences,71,4,Research Scientist,Single,47880,3.0,11,1,0,0,1,2015-12-31 00:00:00,70,71,2.0,4.0,2.0,2015-12-31 00:00:00,70,71,3,2015-12-31 00:00:00,,0
71,47,Travel_Rarely,Research & Development,4,3,Life Sciences,72,2,Healthcare Representative,Married,59060,4.0,23,0,4,1,1,2015-12-31 00:00:00,71,72,4.0,3.0,3.0,2015-12-31 00:00:00,71,72,4,2015-12-31 00:00:00,,0
72,43,Travel_Frequently,Research & Development,14,3,Medical,73,5,Research Director,Divorced,38860,1.0,17,2,2,0,0,2015-12-31 00:00:00,72,73,3.0,3.0,4.0,2015-12-31 00:00:00,72,73,3,2015-12-31 00:00:00,,0
73,27,Non-Travel,Research & Development,2,3,Life Sciences,74,1,Research Director,Married,168230,0.0,17,0,3,1,4,2015-12-31 00:00:00,73,74,3.0,2.0,3.0,2015-12-31 00:00:00,73,74,3,2015-12-31 00:00:00,,0
74,54,Travel_Frequently,Research & Development,1,4,Life Sciences,75,2,Research Scientist,Single,29330,3.0,12,2,2,0,3,2015-12-31 00:00:00,74,75,4.0,3.0,2.0,2015-12-31 00:00:00,74,75,3,2015-12-31 00:00:00,,0
75,43,Travel_Rarely,Research & Development,7,2,Life Sciences,76,2,Manager,Married,65000,8.0,23,0,3,0,0,2015-12-31 00:00:00,75,76,3.0,1.0,2.0,2015-12-31 00:00:00,75,76,3,2015-12-31 00:00:00,,0
76,45,Travel_Rarely,Sales,3,1,Marketing,77,1,Sales Executive,Married,171740,9.0,14,1,6,9,8,2015-12-31 00:00:00,76,77,4.0,4.0,3.0,2015-12-31 00:00:00,76,77,3,2015-12-31 00:00:00,,0
77,40,Travel_Rarely,Research & Development,2,4,Other,78,4,Research Scientist,Married,50330,2.0,14,2,6,0,2,2015-12-31 00:00:00,77,78,2.0,4.0,2.0,2015-12-31 00:00:00,77,78,3,2015-12-31 00:00:00,,0
78,29,Travel_Rarely,Research & Development,29,3,Medical,79,1,Research Scientist,Married,23070,1.0,13,1,0,0,7,2015-12-31 00:00:00,78,79,2.0,1.0,2.0,2015-12-31 00:00:00,78,79,3,2015-12-31 00:00:00,79.0,1
79,29,Travel_Rarely,Human Resources,8,3,Medical,80,3,Sales Representative,Single,25870,0.0,22,2,3,2,2,2015-12-31 00:00:00,79,80,2.0,4.0,3.0,2015-12-31 00:00:00,79,80,3,2015-12-31 00:00:00,,0
80,30,Travel_Rarely,Research & Development,10,3,Life Sciences,81,2,Research Scientist,Divorced,55070,1.0,12,2,2,1,2,2015-12-31 00:00:00,80,81,4.0,3.0,3.0,2015-12-31 00:00:00,80,81,2,2015-12-31 00:00:00,,0
81,27,Travel_Rarely,Research & Development,11,2,Medical,82,1,Manager,Married,43930,1.0,18,1,2,0,7,2015-12-31 00:00:00,81,82,2.0,2.0,3.0,2015-12-31 00:00:00,81,82,2,2015-12-31 00:00:00,,0
82,37,Travel_Rarely,Sales,1,4,Life Sciences,83,2,Healthcare Representative,Divorced,133480,7.0,14,0,4,0,4,2015-12-31 00:00:00,82,83,4.0,4.0,2.0,2015-12-31 00:00:00,82,83,3,2015-12-31 00:00:00,,0
83,38,Travel_Rarely,Research & Development,28,4,Medical,84,1,Laboratory Technician,Divorced,65830,0.0,12,0,1,2,9,2015-12-31 00:00:00,83,84,3.0,4.0,3.0,2015-12-31 00:00:00,83,84,3,2015-12-31 00:00:00,,0
84,31,Travel_Rarely,Research & Development,6,3,Medical,85,3,Manager,Single,81030,1.0,15,1,5,4,10,2015-12-31 00:00:00,84,85,3.0,4.0,3.0,2015-12-31 00:00:00,84,85,3,2015-12-31 00:00:00,,0
85,29,Travel_Rarely,Research & Development,3,4,Life Sciences,86,3,Sales Executive,Divorced,39780,1.0,11,0,0,1,7,2015-12-31 00:00:00,85,86,4.0,2.0,3.0,2015-12-31 00:00:00,85,86,3,2015-12-31 00:00:00,,0
86,35,Travel_Rarely,Sales,16,2,Technical Degree,87,3,Manager,Single,25440,0.0,13,1,3,0,13,2015-12-31 00:00:00,86,87,3.0,2.0,3.0,2015-12-31 00:00:00,86,87,4,2015-12-31 00:00:00,,0
87,23,Travel_Rarely,Research & Development,20,4,Life Sciences,88,1,Manufacturing Director,Divorced,53990,1.0,23,0,2,0,2,2015-12-31 00:00:00,87,88,3.0,4.0,2.0,2015-12-31 00:00:00,87,88,2,2015-12-31 00:00:00,,0
88,41,Travel_Rarely,Research & Development,9,2,Life Sciences,89,1,Laboratory Technician,Single,54870,6.0,19,2,0,1,2,2015-12-31 00:00:00,88,89,4.0,2.0,3.0,2015-12-31 00:00:00,88,89,3,2015-12-31 00:00:00,,0
89,47,Travel_Frequently,Sales,1,3,Medical,90,2,Laboratory Technician,Single,68340,3.0,16,1,2,0,0,2015-12-31 00:00:00,89,90,2.0,3.0,3.0,2015-12-31 00:00:00,89,90,4,2015-12-31 00:00:00,,0
90,42,Travel_Rarely,Research & Development,3,4,Life Sciences,91,1,Manager,Single,10910,2.0,22,0,0,0,0,2015-12-31 00:00:00,90,91,1.0,4.0,3.0,2015-12-31 00:00:00,90,91,1,2015-12-31 00:00:00,,0
91,29,Non-Travel,Sales,22,4,Marketing,92,2,Human Resources,Married,57360,1.0,22,0,1,0,2,2015-12-31 00:00:00,91,92,4.0,3.0,2.0,2015-12-31 00:00:00,91,92,2,2015-12-31 00:00:00,,0
92,42,Travel_Rarely,Sales,7,4,Medical,93,3,Research Scientist,Divorced,22260,0.0,12,1,3,1,0,2015-12-31 00:00:00,92,93,3.0,3.0,3.0,2015-12-31 00:00:00,92,93,2,2015-12-31 00:00:00,,0
93,32,Travel_Rarely,Research & Development,2,3,Medical,94,2,Research Scientist,Married,57470,1.0,13,0,0,0,7,2015-12-31 00:00:00,93,94,3.0,2.0,3.0,2015-12-31 00:00:00,93,94,3,2015-12-31 00:00:00,,0
94,48,Travel_Rarely,Sales,13,4,Medical,95,4,Sales Executive,Married,98540,3.0,16,1,2,0,0,2015-12-31 00:00:00,94,95,1.0,3.0,1.0,2015-12-31 00:00:00,94,95,2,2015-12-31 00:00:00,,0
95,37,Travel_Rarely,Research & Development,8,5,Technical Degree,96,2,Manufacturing Director,Divorced,54670,4.0,12,0,2,6,7,2015-12-31 00:00:00,95,96,3.0,1.0,3.0,2015-12-31 00:00:00,95,96,3,2015-12-31 00:00:00,,0
96,30,Non-Travel,Sales,25,4,Other,97,1,Healthcare Representative,Married,53800,7.0,21,1,0,2,2,2015-12-31 00:00:00,96,97,4.0,3.0,4.0,2015-12-31 00:00:00,96,97,3,2015-12-31 00:00:00,,0
97,26,Travel_Rarely,Sales,28,3,Medical,98,5,Laboratory Technician,Married,51510,1.0,15,3,3,7,7,2015-12-31 00:00:00,97,98,3.0,3.0,3.0,2015-12-31 00:00:00,97,98,3,2015-12-31 00:00:00,,0
98,42,Travel_Rarely,Sales,2,2,Medical,99,1,Laboratory Technician,Single,21330,3.0,13,2,2,0,0,2015-12-31 00:00:00,98,99,1.0,4.0,3.0,2015-12-31 00:00:00,98,99,3,2015-12-31 00:00:00,,0
99,21,Travel_Frequently,Research & Development,9,3,Medical,100,4,Manufacturing Director,Single,178750,1.0,12,0,5,1,2,2015-12-31 00:00:00,99,100,1.0,2.0,3.0,2015-12-31 00:00:00,99,100,2,2015-12-31 00:00:00,100.0,1
100,36,Non-Travel,Human Resources,28,3,Human Resources,101,2,Laboratory Technician,Single,24320,4.0,22,0,4,0,0,2015-12-31 00:00:00,100,101,4.0,4.0,3.0,2015-12-31 00:00:00,100,101,1,2015-12-31 00:00:00,,0
101,36,Travel_Frequently,Research & Development,6,3,Life Sciences,102,2,Research Scientist,Married,47710,4.0,13,1,2,1,12,2015-12-31 00:00:00,101,102,1.0,4.0,3.0,2015-12-31 00:00:00,101,102,3,2015-12-31 00:00:00,,0
102,57,Travel_Rarely,Research & Development,21,4,Life Sciences,103,5,Research Scientist,Married,191610,2.0,18,0,2,1,2,2015-12-31 00:00:00,102,103,4.0,3.0,3.0,2015-12-31 00:00:00,102,103,1,2015-12-31 00:00:00,,0
103,40,Travel_Rarely,Research & Development,8,3,Other,104,2,Sales Executive,Married,50870,3.0,14,1,3,1,7,2015-12-31 00:00:00,103,104,4.0,3.0,3.0,2015-12-31 00:00:00,103,104,3,2015-12-31 00:00:00,,0
104,21,Non-Travel,Research & Development,1,5,Life Sciences,105,2,Manager,Single,28630,1.0,14,0,2,2,2,2015-12-31 00:00:00,104,105,1.0,4.0,2.0,2015-12-31 00:00:00,104,105,1,2015-12-31 00:00:00,,0
105,33,Travel_Rarely,Human Resources,28,2,Human Resources,106,5,Manager,Single,55610,1.0,21,1,3,0,0,2015-12-31 00:00:00,105,106,4.0,3.0,3.0,2015-12-31 00:00:00,105,106,1,2015-12-31 00:00:00,106.0,1
106,37,Travel_Rarely,Research & Development,5,3,Life Sciences,107,4,Research Scientist,Married,21440,6.0,19,0,3,0,3,2015-12-31 00:00:00,106,107,3.0,1.0,3.0,2015-12-31 00:00:00,106,107,4,2015-12-31 00:00:00,,0
107,46,Non-Travel,Sales,2,4,Marketing,108,2,Laboratory Technician,Married,30650,2.0,11,0,3,0,0,2015-12-31 00:00:00,107,108,3.0,3.0,4.0,2015-12-31 00:00:00,107,108,3,2015-12-31 00:00:00,,0
108,41,Travel_Frequently,Research & Development,16,1,Medical,109,1,Research Scientist,Single,28100,1.0,11,0,3,7,7,2015-12-31 00:00:00,108,109,1.0,2.0,3.0,2015-12-31 00:00:00,108,109,4,2015-12-31 00:00:00,109.0,1
